postcode,lat,lng,city,state
0200,-35.2777,149.119,Anu,ACT
0810,-12.381806,130.866242,Alawa,NT
0810,-12.381806,130.866242,Millner,NT
0810,-12.381806,130.866242,Wagaman,NT
0812,-12.404778,130.916098,Leanyer,NT
0813,-12.404778,130.916098,Karama,NT
0820,-12.428017,130.873315,Coonawarra,NT
0820,-12.428017,130.873315,Fannie Bay,NT
0820,-12.428017,130.873315,The Narrows,NT
0822,-11.75841975,130.6254299,Annie River,NT
0822,-11.75841975,130.6254299,Burrundie,NT
0822,-11.75841975,130.6254299,Claravale,NT
0822,-11.75841975,130.6254299,Daly River,NT
0822,-11.75841975,130.6254299,Elrundie,NT
0822,-11.75841975,130.6254299,Glyde Point,NT
0822,-11.75841975,130.6254299,Hotham,NT
0822,-11.75841975,130.6254299,Livingstone,NT
0822,-11.75841975,130.6254299,Marrakai,NT
0822,-11.75841975,130.6254299,Millwood,NT
0822,-11.75841975,130.6254299,Nganmarriyanga,NT
0822,-11.75841975,130.6254299,Point Stephens,NT
0822,-11.75841975,130.6254299,Rum Jungle,NT
0822,-11.75841975,130.6254299,Tiwi Islands,NT
0822,-12.43399126,130.7459083,Wagait Beach,NT
0822,-11.75841975,130.6254299,Wishart,NT
0830,-12.52139649,130.9580765,Archer,NT
0830,-12.475071,130.974879,Palmerston,NT
0832,-12.502817,130.957712,Gunn,NT
0835,-12.5231,131.0415,Coolalinga,NT
0837,-12.64187171,131.094044,Noonamah,NT
0845,-13.045118,131.038475,Batchelor,NT
0850,-14.48180579,132.2598385,Katherine South,NT
0852,-16.4525888,130.8418661,Beswick Creek,NT
0852,-16.4525888,130.8418661,Daguragu,NT
0852,-16.4525888,130.8418661,Elsey Station,NT
0852,-16.4525888,130.8418661,Jilkminggan,NT
0852,-16.4525888,130.8418661,Manbulloo,NT
0852,0,0,Nitjpurru,NT
0852,-16.4525888,130.8418661,Sturt Plateau,NT
0852,-16.4525888,130.8418661,Victoria River Downs,NT
0853,-14.558122,132.417121,Tindal Raaf,NT
0862,-16.79698963,137.4667145,Calvert,NT
0862,-17.60786065,134.055559,Pamayu,NT
0862,-18.251528,134.463153,Wollogorang Station,NT
0870,-23.69030677,133.8971833,East Side,NT
0872,-21.949513,131.298809,Aherrenge,NT
0872,-21.949513,131.298809,Anatye,NT
0872,-21.949513,131.298809,Barrow Creek,NT
0872,-21.949513,131.298809,Docker River,NT
0872,-21.949513,131.298809,Ghan,NT
0872,-21.949513,131.298809,Hart Range,NT
0872,-21.949513,131.298809,Ininti Store,NT
0872,-26.5308,125.6165,Kanpa,WA
0872,-21.949513,131.298809,Lake Mackay,NT
0872,-21.949513,131.298809,Mount Liebig,NT
0872,-21.949513,131.298809,Napperby Station,NT
0872,-21.949513,131.298809,Petermann,NT
0872,-21.949513,131.298809,Tanami,NT
0872,-25.9752687,125.3466253,Tjirrkarli,WA
0872,-21.949513,131.298809,Wanarn,NT
0872,-21.949513,131.298809,Wutunugurra,NT
0873,-23.74471408,133.9050112,Connellan,NT
0874,-23.68480339,133.9224797,Undoolya,NT
0880,-12.2425718,136.8772098,Yirrkala,NT
0909,-12.3718,130.869,University,NT
1007,-33.794883,151.268071,Sydney,NSW
1023,-33.794883,151.268071,Sydney,NSW
1031,-33.794883,151.268071,Sydney,NSW
1038,-33.794883,151.268071,Sydney,NSW
1045,-33.794883,151.268071,Sydney,NSW
1108,-33.794883,151.268071,Sydney,NSW
1116,-33.666729,150.866145,Sydney,NSW
1123,-33.794883,151.268071,Sydney,NSW
1130,-33.794883,151.268071,Sydney,NSW
1137,-33.794883,151.268071,Sydney,NSW
1144,-33.794883,151.268071,Sydney,NSW
1151,-33.794883,151.268071,Sydney,NSW
1158,-33.794883,151.268071,Sydney,NSW
1165,-33.794883,151.268071,Sydney,NSW
1172,-33.794883,151.268071,Sydney,NSW
1179,-33.794883,151.268071,Sydney,NSW
1186,-33.794883,151.268071,Sydney,NSW
1193,-33.794883,151.268071,Sydney,NSW
1201,-33.794883,151.268071,Sydney,NSW
1210,-33.891788,151.176251,Australia Square,NSW
1217,-33.741311,151.034025,Grosvenor Place,NSW
1224,-33.86533,151.207905,Royal Exchange,NSW
1231,-33.815551,151.042528,Sydney South,NSW
1238,-29.816475,151.659454,Haymarket,NSW
1295,-33.794883,151.268071,Sydney,NSW
1335,-33.82269,151.117575,Potts Point,NSW
1419,-34.0641,151.094,Southern Suburbs Mc,NSW
1427,-33.726098,150.931838,Strawberry Hills,NSW
1445,-34.083089,151.007691,Rosebery,NSW
1475,-33.90911,151.15334,Marrickville,NSW
1493,-33.975869,151.088939,Hurstville,NSW
1585,-33.83459,151.20085,Crows Nest,NSW
1639,-33.793137,151.246751,Frenchs Forest,NSW
1675,-33.833033,151.139681,Gladesville,NSW
1740,-33.886166,151.139472,Parramatta,NSW
1790,-33.859047,151.19554,St Marys,NSW
1831,-33.859289,150.948582,Granville,NSW
1875,-33.93566973,150.9413383,Moorebank,NSW
2000,-33.859953,151.256649,Dawes Point,NSW
2001,-33.794883,151.268071,Sydney,NSW
2008,-33.891146,151.193858,Chippendale,NSW
2010,-33.884119,151.212262,Taylor Square,NSW
2012,-33.726098,150.931838,Strawberry Hills,NSW
2017,-33.9003,151.206,Waterloo Dc,NSW
2020,-33.936179,151.176775,Sydney Domestic Airport,NSW
2022,-33.896401,151.245049,Bondi Junction Plaza,NSW
2026,-33.891041,151.268968,Ben Buckler,NSW
2027,-33.868972,151.250494,Hmas Rushcutters,NSW
2030,-33.858378,151.275977,Rose Bay North,NSW
2031,-33.914832,151.239167,St Pauls,NSW
2035,-33.945635,151.241292,Maroubra South,NSW
2036,-33.969624,151.237844,Malabar,NSW
2039,-33.867187,151.171915,Rozelle,NSW
2042,-33.900649,151.175354,Newtown,NSW
2046,-33.866044,151.133865,Abbotsford,NSW
2047,-33.853924,151.165735,Drummoyne,NSW
2050,-33.89037,151.17598,Missenden Road,NSW
2060,-33.839863,151.204557,Hmas Waterhen,NSW
2061,-33.848785,151.212372,Milsons Point,NSW
2065,-33.828361,151.192212,Greenwich,NSW
2066,-33.818641,151.160912,Lane Cove West,NSW
2067,-33.798378,151.17711,Chatswood West,NSW
2069,-33.780246,151.195368,Castle Cove,NSW
2071,-33.761834,151.171738,Killara,NSW
2074,-33.735222,151.123716,Turramurra,NSW
2076,-33.723263,151.108249,Wahroonga,NSW
2081,-33.619756,151.150498,Berowra,NSW
2083,-33.51046731,151.1920435,Cheero Point,NSW
2084,-33.650999,151.216929,Duffys Forest,NSW
2087,-33.766093,151.210531,Forestville,NSW
2090,-33.828949,151.223094,Cremorne,NSW
2093,-33.79315,151.258069,Clontarf,NSW
2096,-33.77509122,151.2849046,Freshwater,NSW
2097,-33.739577,151.297895,Long Reef,NSW
2099,-33.748914,151.279999,North Curl Curl,NSW
2100,-33.766409,151.257781,Oxford Falls,NSW
2102,-33.689941,151.290953,Warriewood,NSW
2105,-33.642202,151.278293,Lovett Bay,NSW
2107,-33.634816,151.323289,Avalon Beach,NSW
2107,-33.634816,151.323289,Taylors Point,NSW
2108,-33.60382,151.322759,The Basin,NSW
2111,-33.829953,151.124488,Henley,NSW
2112,-33.81658,151.108447,Ryde,NSW
2114,-33.810991,151.084181,Denistone West,NSW
2117,-33.797127,151.04218,Dundas Valley,NSW
2119,-33.755499,151.064176,Beecroft,NSW
2122,-33.791357,151.092072,Eastwood,NSW
2127,-33.85283,151.076186,Newington,NSW
2132,-33.882419,151.113385,Croydon,NSW
2136,-33.892944,151.087741,Enfield,NSW
2138,-33.846098,151.086036,Concord West,NSW
2140,-33.835018,151.070853,Homebush West,NSW
2142,-33.83307675,151.0220764,Clyde,NSW
2143,-33.885382,151.021934,Regents Park,NSW
2145,-33.813104,150.957425,Mays Hill,NSW
2146,-33.789374,150.959508,Toongabbie,NSW
2148,-33.783751,150.900547,Blacktown,NSW
2150,-33.814463,151.006506,Parramatta,NSW
2153,-33.731651,150.955942,Crestwood,NSW
2155,-33.6852,150.953,North Kellyville,NSW
2157,-33.602167,150.991055,Glenorie,NSW
2159,-33.539148,151.084146,Berrilee,NSW
2161,-33.858335,150.983724,Old Guildford,NSW
2164,-33.844153,150.875028,Smithfield,NSW
2165,-33.872435,150.947496,Fairfield Heights,NSW
2167,-33.972167,150.890441,Glenfield,NSW
2168,-33.915939,150.875345,Miller,NSW
2170,-33.928392,150.921448,Liverpool South,NSW
2171,-33.93771581,150.8487366,Carnes Hill,NSW
2171,-33.959617,150.970931,West Hoxton,NSW
2174,-33.977497,150.856709,Ingleburn Milpo,NSW
2176,-33.872014,150.88526,St Johns Park,NSW
2178,-33.87478,150.838225,Mount Vernon,NSW
2192,-33.921018,151.089663,Belmore,NSW
2195,-33.924525,151.076939,Wiley Park,NSW
2200,-33.926559,151.014937,Bankstown,NSW
2200,-33.926559,151.014937,Mount Lewis,NSW
2205,-33.937551,151.147956,Wolli Creek,NSW
2207,-33.948744,151.119517,Bexley North,NSW
2210,-33.957725,151.052257,Lugarno,NSW
2212,-33.947286,151.014547,Revesby,NSW
2216,-33.955393,151.148204,Banksia,NSW
2217,-33.974354,151.140345,Kogarah,NSW
2219,-33.996587,151.132495,Dolls Point,NSW
2221,-33.992159,151.10599,Carss Park,NSW
2224,-34.01362,151.101891,Kangaroo Point,NSW
2226,-34.009345,151.063808,Como,NSW
2229,-34.05505669,151.1196698,Caringbah South,NSW
2230,-34.093213,151.136596,Burraneer,NSW
2232,-34.0882,151.124,Bonnie Vale,NSW
2232,-34.034,151.071,Kirrawee Dc,NSW
2232,-34.1336,151.1041,Wattamolla,NSW
2233,-34.114626,151.027919,Yarrawarrah,NSW
2234,-34.021938,151.004412,Menai Central,NSW
2250,-33.325373,151.189243,Erina Fair,NSW
2250,-33.325373,151.189243,Kulnura,NSW
2250,-33.325373,151.189243,Mount Elliot,NSW
2250,-33.325373,151.189243,Point Frederick,NSW
2250,-33.4220092,151.3236249,West Gosford,NSW
2251,-33.482209,151.401999,Green Point,NSW
2252,-33.3208,151.234,Central Coast Mc,NSW
2256,-33.482123,151.331154,Phegans Bay,NSW
2257,-33.520358,151.374403,Empire Bay,NSW
2257,-33.520358,151.374403,Umina Beach,NSW
2259,-33.208801,151.377213,Alison,NSW
2259,-33.208801,151.377213,Frazer Park,NSW
2259,-33.20712254,151.4435371,Kiar,NSW
2259,-33.17122783,151.6212133,Moonee,NSW
2259,-33.29381251,151.4552558,Tacoma South,NSW
2259,-33.208801,151.377213,Woongarrah,NSW
2259,-33.208801,151.377213,Yarramalong,NSW
2261,-33.315827,151.519708,Bay Village,NSW
2261,-33.315827,151.519708,Long Jetty,NSW
2262,-33.209125,151.528042,Blue Haven,NSW
2262,-33.209125,151.528042,Halekulani,NSW
2263,-33.285097,151.556223,Noraville,NSW
2264,-33.106675,151.533807,Mandalong,NSW
2264,-33.106675,151.533807,Windermere Park,NSW
2278,-32.932412,151.590415,Wakefield,NSW
2280,-33.019715,151.663175,Marks Point,NSW
2281,-33.089963,151.668857,Middle Camp,NSW
2282,-32.987279,151.651275,Eleebana,NSW
2283,-33.019117,151.57181,Bolton Point,NSW
2283,-33.019117,151.57181,Kilaben Bay,NSW
2284,-32.953236,151.621183,Marmong Point,NSW
2285,-32.933305,151.651095,Cardiff South,NSW
